"Date","Price","Open","High","Low","Vol.","Change %"
"20-03-2009","3,200.45","3,247.20","3,255.30","3,190.20","74.99M","-2.52%"
"19-03-2009","3,283.25","3,282.30","3,318.85","3,264.35","70.58M","0.49%"
"18-03-2009","3,267.40","3,198.85","3,276.20","3,198.85","91.35M","3.29%"
"17-03-2009","3,163.40","3,157.00","3,196.60","3,148.40","76.30M","0.55%"
"16-03-2009","3,146.05","3,071.05","3,149.25","3,070.65","69.93M","3.09%"
"13-03-2009","3,051.70","2,985.55","3,058.05","2,985.55","67.79M","2.90%"
"12-03-2009","2,965.80","2,961.65","2,984.45","2,957.45","49.75M","0.96%"
"09-03-2009","2,937.50","2,976.70","2,976.70","2,930.75","47.69M","-1.50%"
"06-03-2009","2,982.30","2,965.25","2,987.55","2,946.35","59.44M","-0.40%"
"05-03-2009","2,994.35","3,069.40","3,079.60","2,987.70","56.80M","-1.86%"
"04-03-2009","3,050.95","3,079.45","3,083.25","3,047.05","59.85M","-0.15%"
"03-03-2009","3,055.45","3,098.80","3,110.20","3,050.20","59.15M","-1.84%"
"02-03-2009","3,112.75","3,148.50","3,156.20","3,101.30","59.54M","-1.98%"
"27-02-2009","3,175.70","3,162.45","3,180.35","3,136.95","77.18M","0.26%"
"26-02-2009","3,167.60","3,201.50","3,201.50","3,163.30","82.04M","-0.75%"
"25-02-2009","3,191.45","3,199.15","3,233.80","3,184.80","53.84M","0.51%"
"24-02-2009","3,175.30","3,190.60","3,201.50","3,158.80","60.49M","-1.88%"
"20-02-2009","3,236.00","3,258.50","3,260.15","3,221.45","47.58M","-1.51%"
"19-02-2009","3,285.60","3,303.80","3,322.90","3,281.65","47.75M","0.01%"
"18-02-2009","3,285.25","3,290.35","3,314.30","3,275.25","55.78M","-0.82%"
"17-02-2009","3,312.30","3,375.15","3,375.15","3,304.30","50.35M","-2.47%"
"16-02-2009","3,396.30","3,504.90","3,517.90","3,390.90","62.65M","-3.04%"
"13-02-2009","3,502.90","3,450.25","3,519.35","3,450.25","62.34M","1.65%"
"12-02-2009","3,446.15","3,436.75","3,477.00","3,436.75","82.83M","0.19%"
"11-02-2009","3,439.60","3,407.05","3,443.90","3,399.80","88.49M","-0.23%"
"10-02-2009","3,447.55","3,403.15","3,449.40","3,396.55","93.54M","1.64%"
"09-02-2009","3,392.05","3,354.90","3,395.70","3,350.45","49.91M","1.57%"
"06-02-2009","3,339.75","3,296.30","3,343.90","3,295.00","68.38M","2.19%"
"05-02-2009","3,268.15","3,287.10","3,298.75","3,257.30","55.35M","-0.36%"
"04-02-2009","3,279.90","3,299.60","3,318.95","3,274.70","64.76M","-0.27%"
"03-02-2009","3,288.80","3,321.90","3,347.45","3,276.80","61.07M","-0.64%"
