"Date","Price","Open","High","Low","Change %"
"Aug 21, 2017","16.624","16.624","16.624","16.624","-0.84%"
"Aug 18, 2017","16.765","16.765","16.765","16.765","-0.68%"
"Aug 17, 2017","16.879","16.879","16.879","16.879","0.07%"
"Aug 16, 2017","16.867","16.867","16.867","16.867","1.05%"
"Aug 15, 2017","16.692","16.692","16.692","16.692","0.00%"
"Aug 14, 2017","16.692","16.692","16.692","16.692","0.86%"
"Aug 11, 2017","16.550","16.550","16.550","16.550","-1.07%"
"Aug 10, 2017","16.729","16.729","16.729","16.729","-0.88%"
"Aug 09, 2017","16.877","16.877","16.877","16.877","-0.71%"
"Aug 08, 2017","16.997","16.997","16.997","16.997","-0.78%"
"Aug 07, 2017","17.131","17.131","17.131","17.131","-0.09%"
"Aug 04, 2017","17.147","17.147","17.147","17.147","0.52%"
"Aug 03, 2017","17.058","17.058","17.058","17.058","-0.66%"
"Aug 02, 2017","17.172","17.172","17.172","17.172","-0.32%"
"Aug 01, 2017","17.227","17.227","17.227","17.227","0.37%"
"Jul 31, 2017","17.163","17.163","17.163","17.163","0.63%"
"Jul 28, 2017","17.056","17.056","17.056","17.056","-0.06%"
"Jul 27, 2017","17.067","17.067","17.067","17.067","0.01%"
