"Date","Price","Open","High","Low","Change %"
"06-05-2005","7.260","7.260","7.260","7.260","0.29%"
"05-05-2005","7.239","7.239","7.239","7.239","0.10%"
"04-05-2005","7.232","7.232","7.232","7.232","-0.10%"
"03-05-2005","7.239","7.239","7.239","7.239","-0.85%"
"02-05-2005","7.301","7.301","7.301","7.301","-0.76%"
"30-04-2005","7.357","7.357","7.357","7.357","1.63%"
"29-04-2005","7.239","7.239","7.239","7.239","0.19%"
"28-04-2005","7.225","7.225","7.225","7.225","1.62%"
"27-04-2005","7.110","7.110","7.110","7.110","-0.18%"
"26-04-2005","7.123","7.123","7.123","7.123","0.00%"
"25-04-2005","7.123","7.123","7.123","7.123","0.30%"
"23-04-2005","7.102","7.102","7.102","7.102","0.28%"
"21-04-2005","7.082","7.082","7.082","7.082","0.00%"
"20-04-2005","7.082","7.082","7.082","7.082","0.16%"
"19-04-2005","7.071","7.071","7.071","7.071","-0.25%"
"16-04-2005","7.089","7.089","7.089","7.089","1.39%"
"15-04-2005","6.992","6.992","6.992","6.992","-0.14%"
"13-04-2005","7.002","7.002","7.002","7.002","0.00%"
"12-04-2005","7.002","7.002","7.002","7.002","0.00%"
"11-04-2005","7.002","7.002","7.002","7.002","-0.19%"
"08-04-2005","7.015","7.015","7.015","7.015","0.57%"
"07-04-2005","6.975","6.975","6.975","6.975","2.24%"
"06-04-2005","6.822","6.822","6.822","6.822","1.37%"
"05-04-2005","6.730","6.730","6.730","6.730","-0.30%"
"04-04-2005","6.750","6.750","6.750","6.750","0.30%"
"02-04-2005","6.730","6.730","6.730","6.730","0.78%"
"01-04-2005","6.678","6.678","6.678","6.678","0.03%"
"31-03-2005","6.676","6.676","6.676","6.676","0.12%"
"30-03-2005","6.668","6.668","6.668","6.668","0.03%"
"29-03-2005","6.666","6.666","6.666","6.666","0.20%"
"28-03-2005","6.653","6.653","6.653","6.653","-0.30%"
